modern,original
"Go ahead , rage till your proud heart breaks .",Fret till your proud heart break .
Tell me .,Tell me .
Fight ?,Woo't fight ?
Which of you two ate lunch with me today ?,Which of you two did dine with me today ?
"What , have you forgotten me ?","What , have you forgot me ?"
It doesn't look that way to me .,It hath not appeared .
"I'm telling you , it's hers .",Sure it is hers .
"Yes , I am the one .","Yea , even I alone ."
"Wake up , sir , wake up .","Awake , sir , awake ."
"Tomorrow , soldier , I'll fight by sea and land .","Tomorrow , soldier , By sea and land I'll fight ."
Your sister's sister .,Thy sister's sister .
So I die with a kiss .,Thus with a kiss I die .
"Listen , I'm going home tomorrow , Sir Toby .","Faith , I'll home tomorrow , Sir Toby ."
Don't ask to see this letter .,Do not desire to see this letter .
Should I strike it with my spear ?,Shall I strike at it with my partisan ?
"If there's anything more sorrowful left to add , keep it to yourself .","If there be more , more woeful , hold it in ."
"You , Nick Bottom , have been cast as Pyramus .","You , Nick Bottom , are set down for Pyramus ."
What if a fellow were bringing him a couple of hundred pounds to toss around ?,What if a man bring him a hundred pound or two to make merry withal ?
"They won't pinch me , frighten me , push me in the mud , or mislead me unless he tells them to .","But they'll nor pinch , Fright me with urchin-shows , pitch me i ' th ' mire , Nor lead me like a firebrand in the dark Out of my way , unless he bid 'em ."
Meanwhile I'll stay with Regan with my hundred knights .,"I can stay with Regan , I and my hundred knights ."
"This is the air , that's the glorious sun .","This is the air , that is the glorious sun ."
"Of what city , may I ask ?","Of whence , I pray ?"
"My father , led by a poor peasant ?","My father , poorly led ?"
"I'm a fool. , Let's go , Lorenzo. , Goodbye for now .","But fish not with this melancholy bait For this fool gudgeon , this opinion. , Come , good Lorenzo. , Fare ye well awhile ."
"And from now on , when you get hot with me , I'll assume it's your mother speaking and leave it at that .","And from henceforth When you are over-earnest with your Brutus , He'll think your mother chides and leave you so ."
"Please , don't make fun of me .","I pray thee , do not mock me , fellow student ."
"He who is dizzy thinks the world is spinning"" , please , tell me what you meant by that .","He that is giddy thinks the world turns round"" , I pray you , tell me what you meant by that ."
"Come on , you and I will go soon .","Come , you and I will thither presently ."
Barnardo's taken my place .,Barnardo has my place .
Tell us what happened today that put Caesar in such a serious mood .,Tell us what hath chanced today That Caesar looks so sad .
Is all of this about your father ?,But is all this for your father ?
"Think about our situation , then die .",Think and die .
"I'm helping Indeed , sir , find something better to do and get lost for a while .","Marry , sir , be better employed , and be naught awhile ."
Do you maintain the same story ?,Dost thou hold there still ?
"If you do , please give it to me , because I need to start learning the lines .","Pray you , if it be , give it me , for I am slow of study ."
Welcome to Elsinore .,You are welcome to Elsinore .
I must admit your offer is the best .,"I must confess your offer is the best , And , let your father make her the assurance , She is your own ; else , you must pardon me ."
but love for love i will excuse my slow horse like this,but love for love thus shall excuse my jade
Neither death nor life will stop me from coming .,"Tide life , tide death , I come without delay ."
"Claudio deserves to be honored , and Don Pedro has rewarded him accordingly .",I find here that Don Pedro hath bestowed much honor on a young Florentine called Claudio .
Don't I tell you in the clearest terms that I do not and can not love you ?,"Or rather , do I not in plainest truth Tell you I do not , nor I can not , love you ?"
was used to offer gentle judgments,was used in giving gentle doom
I'm full of joy .,I am full of pleasure .
In a half an hour he'll be asleep .,Within this half hour will he be asleep .
"Nathaniel's coat was being fixed , sir .","Nathaniel's coat , sir , was not fully made , And Gabriel's pumps were all unpinked i ' th ' heel ."
"Oh , now I really need that priest who spoke to me today !","O , now I need the priest that spake to me !"
"The man who finds the sweetest rose Will be pricked by it , and by Rosalind .","He that sweetest rose will find Must find love's prick , and Rosalind ."
And they've been plotting things together .,And they have conspired together .
"All the worse that she stooped this low , then .",She's the worse for all this .
If I had only died an hour before this event I could say I had lived a blessed life .,"Had I but died an hour before this chance , I had lived a blessed time , for from this instant There's nothing serious in mortality ."
Have you not spoken to her since then ?,You spoke not with her since ?
"Everything is gloomy , dark , and dreadful .","All's cheerless , dark , and deadly ."
"Give him the instructions for our amusing little contract , and I'll go get the money for you right away .","Give him direction for this merry bond , And I will go and purse the ducats straight , See to my house left in the fearful guard Of an unthrifty knave , and presently I will be with you ."
"Oh , you stupid Moor !",O thou dull Moor !
"M"" , why , that's the first letter in my name .","M"" , why , that begins my name ."
"Bring me the handkerchief , My mind is full of doubt .","Fetch me the handkerchief , my mind misgives ."
A grave ?,A grave ?
I asked a servant .,I spoke with his man .
"It's often the case that having something makes us spoiled , while not having it turns out to be advantageous .","Full oft 'tis seen , Our means secure us and our mere defects Prove our commodities ."
A basting .,Basting .
May a hot southwest wind blow on you and cover you with blisters all over .,A southwest blow on ye And blister you all o'er !
Take these too .,And this .
"Yes , just now , my lord .","But now , my lord ."
I've proved my trustworthiness by giving myself a voluntary wound here in my thigh .,"I have made strong proof of my constancy , Giving myself a voluntary wound Here in the thigh ."
"Well , in and of itself , it is a good life , but given that it's a shepherd's life , it's worthless .","Truly , shepherd , in respect of itself , it is a good life ; but in respect that it is a shepherd's life , it is naught ."
"It's strange , strange .","Tis strange , strange ."
"That was a likely story , that you found it in your room and didn't know who it belonged to .","A likely piece of work , that you should find it in your chamber , and not know who left it there !"
"The queen is dead , my lord .","The queen , my lord , is dead ."
"Do you hear us , sir ?","Hear you , sir ?"
I'll bring you to him right away .,I'll bring you to him straight .
The worst thing imaginable has happened .,Confusion now hath made his masterpiece .
"Yes , that's why you have to die .","Ay , and for that thou diest ."
Iago is gesturing for me to come closer .,Iago beckons me .
"Please just name a time , but don't wait more than three days .","I prithee name the time , but let it not Exceed three days ."
So you've dared him to single combat .,So hath my lord dared him to single fight .
Bring the villain forward .,Bring the villain forth .
"I hate him so much it makes me sick , and whoever can ruin his happiness will make me happy .","I am sick in displeasure to him , and whatsoever comes athwart his affection ranges evenly with mine ."
No .,No .
"And if you treat us badly , won't we try to get revenge ?","And if you wrong us , shall we not revenge ?"
"I'd rather die in a ditch in Egypt , and make it my gentle grave .",Rather a ditch in Egypt Be gentle grave unto me .
"And so , good-bye .","And so , adieu ."
"But since Laertes is better , we've given him a handicap .",But since he is better we have therefore odds .
Poor man !,Poor man !
Goodbye .,Farewell .
"I never saw it or suspected it , so it never hurt me .","I saw 't not , thought it not , it harmed not me ."
I'd rather carry a reed that obviously can't protect me than a sword I can not lift .,I had as lief have a reed that will do me no service as a partisan I could not heave .
"Look , here are the boxes , prince .","Behold , there stand the caskets , noble Prince ."
But God forgive me for bragging .,"Yet , forgive me , God , That I do brag thus ."
Oh !,Oh !
i would feel for my own transgression,needs must i under my transgression bow
"Horatio , you're the best man I've ever known .","Horatio , thou art e'en as just a man As e'er my conversation coped withal ."
"Is it on record that he built it , or is it just word of mouth ?","Is it upon record , or else reported Successively from age to age , he built it ?"
Your mother's been poisoned .,Thy mother's poisoned .
"Here comes my man , the man I'm looking for .",Here comes my man .
"Darn it , if I'd guessed he was so brave and such a good swordsman , I never would have challenged him .","Plague on 't , an I thought he had been valiant and so cunning in fence , I'd have seen him damned ere I'd have challenged him ."
"Caesar , you thought this would happen .","Caesar , thy thoughts Touch their effects in this ."
"If this young gentleman has offended you , I'll take the blame for it .","If this young gentleman Have done offence , I take the fault on me ."
I'm happy about that .,I am glad on 't .
You know where I live .,Thou know'st my lodging .
"Well , I think that even if it weren't on record , the truth would be remembered from one generation to the next , all the way to Doomsday .","But say , my lord , it were not registered , Methinks the truth should live from age to age , As 'twere retailed to all posterity , Even to the general all-ending day ."
"Then the window lets day in , and life goes out the window .","Then , window , let day in and let life out ."
"But let's follow it , and then do our dirty work afterward .","Let's follow it , and after do our work ."
And earth !,O earth !
Everyone prepare to take this beautiful corpse to her grave .,Every one prepare To follow this fair corse unto her grave .
Will you come immediately ?,Will you come presently ?
"No , I'm telling you , put on this robe and beard .","Nay , I prithee , put on this gown and this beard ."
You're a fool .,Thou art a fool .
by unfaithful hands in a trustworthy container,from hands of falsehood in sure wards of trust
since my body is made of so much earth and water,but that so much of earth and water wrought
"You wake up to have fun , and you start work when you go to bed .",You rise to play and go to bed to work .
Amen .,Amen .
"If you dressed only to stay warm , you wouldn't need these gorgeous clothes you're wearing , which don't keep you warm at all .","If only to go warm were gorgeous , Why , nature needs not what thou gorgeous wear'st , Which scarcely keeps thee warm ."
when you reread this you review,when thou reviewest this thou dost review
"I'll knock your teeth out , sir .","Chill pick your teeth , zir ."
oh blame fortune for my sake,o for my sake do you with fortune chide
"Oh , he's a gallant king !","Oh , 'tis a gallant king !"
all of them in a sequence striving forwards,in sequent toil all forwards do contend
"Very obedient , keep crying. , Concerning this , oh , what fake emotion ! , I am being ordered home , Get away from me , I'll send for you later. , Sir , I'll obey the order and return to Venice .","And she's obedient , as you say , obedient , Very obedient. , Proceed you in your tears. , Concerning this , sir , Oh , well-painted passion ! , I am commanded home. , Get you away , I'll send for you anon. , Sir , I obey the mandate And will return to Venice. , Hence , avaunt !"
nor will you lose possession of the beauty you own,nor lose possession of that fair thou ow'st
and made myself a fool in front of everyone,and made my self a motley to the view
I'm going to the Friar to find out his solution .,I'll to the friar to know his remedy .
"But maybe you don't like mine , or his , or hers either .","No more perchance does mine , nor his , nor hers ."
"The poor thing , he is so shaken with a fever that it's terrible to see .","Ah , poor heart , he is so shaked of a burning quotidian tertian that it is most lamentable to behold ."
Keep this libertine occupied with endless debauchery .,"Tie up the libertine in a field of feasts , Keep his brain fuming ."
"I'll do what I can , more than I'd do for myself .","What I can do I will , and more I will Than for myself I dare ."
so then you will have lost only the worst parts of life,so then thou hast but lost the dregs of life
"Now , you tanned fieldworkers who are so tired of August's labors , get out of the dirt and come rejoice with us here .","You sunburnt sicklemen of August weary , Come hither from the furrow and be merry ."
"No , uncle , I won't be married .","No , uncle , I'll none ."
Call him .,Call him .
There's something going on that's not what it seems .,There's something in 't That is deceivable .
"Get me some poison tonight , Iago .","Get me some poison , Iago , this night ."
They want to talk .,They stand and would have parley .
Your English sorrows will make me smile in France .,These English woes will make me smile in France .
Your grandsons will neigh to you like horses .,You'll have your nephews neigh to you .
What role did you play ?,What did you enact ?
Were these things we're talking about really here ?,Were such things here as we do speak about ?
"What , from myself ?",Despair and die !
But how ?,"And may , but how ?"
and manage natures riches so that they are not wasted,and husband nature's riches from expense
"Though this island may appear desolate ,","Though this island seem to be desert ,"
And how did she react to all this ?,But how hath she received his love ?
"The more I try to hide what I'm feeling , the bigger it gets .","But this is trifling , And all the more it seeks to hide itself The bigger bulk it shows ."
I can see in your eyes that you're starving .,Need and oppression starveth in thine eyes .
"Two or three men , my lord , who brought the message that Macduff has fled to England .","Tis two or three , my lord , that bring you word Macduff is fled to England ."
Bring him to me .,"Go seek him out , speak fair , and bring the body Into the chapel ."
"Some of them give me money , some invite me places , some thank me for the kind things I've done for them , some try to sell me things .",Some tender money to me ; some invite me ; Some other give me thanks for kindnesses ; Some offer me commodities to buy .
and nothing stands that his scythe cant mow down,and nothing stands but for his scythe to mow
No woman is strong enough to put up with the kind of intense passion I feel .,There is no woman's sides Can bide the beating of so strong a passion As love doth give my heart .
He's been killed .,He is slain .
"He writes brave poems , speaks brave words , makes brave promises , and then breaks them just as bravely .",But what talk we of fathers when there is such a man as Orlando ?
Check the calendar and come tell me .,Look in the calendar and bring me word .
"Yes , quite a large one , with many cells and dungeons , Denmark being one of the worst .","A goodly one , in which there are many confines , wards , and dungeons , Denmark being one o ' th ' worst ."
We haven't even talked about who'll be our torchbearers .,We have not spoke us yet of torchbearers .
"If everything else fails , at least I have the power to take my own life .","If all else fail , myself have power to die ."
"Oh , "" he said , ""Did you fall on your face ?","Yea , "" quoth he , ""Dost thou fall upon thy face ?"
"Tybalt is dead , and Romeo has been banished .","Tybalt is gone , and Romeo banished ."
"Good night , good brother .","Good night , good brother ."
"So , what hour of comfort have I ever had in your company ?","What comfortable hour canst thou name , That ever graced me in thy company ?"
How long has he been possessed like this ?,How long hath this possession held the man ?
There's still the King of France's farewell ceremony .,There is further compliment of leave-taking between France and him .
My lord loves you .,My lord and master loves you .
"Benvolio , who started this fight ?","Benvolio , who began this bloody fray ?"
"Be careful , Signior Baptista , lest you be made the dupe in this business .","Take heed , Signior Baptista , lest you be cony-catched in this business ."
I bet my life on it .,I will be hanged else !
"My gracious lord , I should tell you what I saw , but I don't know how to say it .","Gracious my lord , I should report that which I say I saw , But know not how to do 't ."
"Thank you , sir .","I thank you , sir ."
Oh God !,O God !
"Oh , what an excellent young man !",O excellent young man !
"She's wise , if I'm judging her right .","For she is wise , if I can judge of her ."
Get them in here .,Call them forth .
"Oh , let me remember what happened to Hastings and hurry to","O , let me think on Hastings and be gone To Brecknock , while my fearful head is on !"
Hello to you .,"And you , sir ."
Anyone who has a house to cover his head has a good head on his shoulders .,He that has a house to put 's head in has a good headpiece .
"This wicked man will be brought face to face with Margaret , who I believe was hired by Don John to take part in this plot .","This naughty man Shall face to face be brought to Margaret , Who I believe was packed in all this wrong , Hired to it by your brother ."
Who gets up from a meal with the same appetite he had when he sat down ?,Who riseth from a feast With that keen appetite that he sits down ?
"If you're the lady of the house , then it's true you're stealing your role , because what's yours to give away is not yours to keep for yourself .","Most certain , if you are she , you do usurp yourself , for what is yours to bestow is not yours to reserve ."
Receive all the blessings of a happy father .,"Now all the blessings Of a glad father , compass thee about ."
"Gentlemen , on to the bridal dinner .","Gentlemen , forward to the bridal dinner ."
"Humble greetings , great master !","All hail , great master !"
"Do you really think I'm no stronger than the rest of my sex , with such a father and such a husband ?","Think you I am no stronger than my sex , Being so fathered and so husbanded ?"
"What's going on , daughter ?","How now , daughter ?"
Cheer up and be at peace .,Bear free and patient thoughts .
I swear I never hated you or your father !,Let sorrow split my heart if ever I Did hate thee or thy father .
What if I went no further and chose this one ?,"What if I strayed no further , but chose here ?"
"Just tell me what to do , and I'll do it .","Then do but say to me what I should do That in your knowledge may by me be done , And I am pressed unto it ."
and you in this poem will find your memorial,and thou in this shalt find thy monument
"Very humid , I can't tell you how humid it is .","It is very sultry , as 'twere , I can not tell how ."
I hope we have the time some day !,God give us leisure for these rites of love !
"Madam , I'm a bit like you in that I can't tolerate a tone of disapproval .","Madam , I have a touch of your condition , Which can not brook the accent of reproof ."
Look over your lines again .,Every man look o'er his part .
He's asking him to tell the story again .,Now he importunes him To tell it o'er .
Then he says I didn't return some ships he loaned me .,"Then does he say he lent me Some shipping , unrestored ."
"But she's got to die , or she'll cheat on other men .","Yet she must die , else she'll betray more men ."
But we haven't made any preparations .,We have not made good preparation .
"Where did you learn that song , Fool ?","Where learned you this , Fool ?"
"I'm just saying that if you're good and beautiful , your goodness should have nothing to do with your beauty .","That if you be honest and fair , your honesty should admit no discourse to your beauty ."
a single thing in it is not worth counting on its own,among a number one is reckoned none
"But there was a rumor , you know , people always gossip about royalty , that he was in love with the beautiful Olivia .","For but a month ago I went from hence , And then 'twas fresh in murmur , as , you know , What great ones do the less will prattle of , That he did seek the love of fair Olivia ."
"That way , he'll waste his provisions and tire out his soldiers , weakening his own capacities , while we , lying still , are rested , energetic , and nimble .","So shall he waste his means , weary his soldiers , Doing himself offense , whilst we , lying still , Are full of rest , defense , and nimbleness ."
That means it's more likely to be fake .,It is the more like to be feigned .
There he is !,We are spoiled and yonder he is !
Who ever saw the heavens threaten like this ?,Who ever knew the heavens menace so ?
"Oh righteous God , how can I thank you enough that this meat-eating mutt preys on his mother's children and forces her to join others in their grief !","O upright , just , and true-disposing God , How do I thank thee that this carnal cur Preys on the issue of his mother's body And makes her pew-fellow with others ' moan !"
"Though that must have been a pitiful sight , the ground looked beautiful .","Though it be pity to see such a sight , it well becomes the ground ."
I have news for you about the Prince's punishment .,I bring thee tidings of the Prince's doom .
"Too quickly , we boarded a ship .","Alas , too soon We came aboard ."
"Bolstered by righteousness , I prepared to fight , and when he saw my excitement , or perhaps because my shouting scared him , he ran away suddenly .","And when he saw my best alarumed spirits , Bold in the quarrel's right , roused to the encounter , Or whether ghasted by the noise I made , Full suddenly he fled ."
"We're men beached on the sand , hoping to be washed out by the next tide .","Even as men wracked upon a sand , that look to be washed off the next tide ."
"and affection , even if it's just an act .",Note if your lady strain his entertainment
He's a traitor .,He's a traitor .
Go to the church .,Hie you to church .
and that image of you will make his skill famous,and such a counterpart shall fame his wit
"Then lay that sentence on me too , my lord .","Pronounce that sentence then on me , my liege ."
"We follow in your orbit , and you have the power to move us .","Though others have the arm , show us the sleeve ; We in your motion turn , and you may move us ."
Is this possible ?,Is 't possible ?
"How did you like the young German , the duke of Saxony's nephew ?","How like you the young German , the Duke of Saxony's nephew ?"
"Dearest Olivia , What do you have to say for yourself , Cesario ? , My lord , please , My lord wants to speak .","Gracious Olivia , What do you say , Cesario ? , Good my lord , My lord would speak ."
"Musicians , play us a song. , Prince , you look sad .","Therefore play , music. , Prince , thou art sad ."
"I saw her , but I didn't notice her .","I noted her not , but I looked on her ."
"As for me , I welcome my good luck with sadness .","For me , with sorrow I embrace my fortune ."
"Oh , my heart , my heart is rising into my throat !","O me , my heart , my rising heart !"
Come along with me .,"Go , sirrah , trudge about Through fair Verona ."
"If you shut the windows , it will pour out the keyhole .","Shut that , and 'twill out at the keyhole ."
The fact that he serves as a go-between for his lord and my niece Olivia confirms this .,His employment between his lord and my niece confirms no less .
"Before I could break up the fight , Tybalt was killed .","But by and by comes back to Romeo , Who had but newly entertained revenge , And to 't they go like lightning , for ere I Could draw to part them was stout Tybalt slain ."
Do you bring me a letter from the friar ?,Dost thou not bring me letters from the friar ?
They say Gloucester's bastard son is .,"As 'tis said , the bastard son of Gloucester ."
Yes !,Most true .
You still haven't said anything incriminating .,Still you keep o ' the windy side of the law .
"And you , sir , what's Well , compared to a fine workman , you might call me a mere cobbler .","Truly , sir , in respect of a fine workman , I am but , as you would say , a cobbler ."
against the stormy gusts of winters day,against the stormy gusts of winter's day
"Here , sir !","Here , sir !"
Like that .,So .
"With him out of Venice , I can make whatever bargains I want when I lend money. , Go , Tubal .","Bespeak him a fortnight before. , I will have the heart of him if he forfeit , for were he out of Venice I can make what merchandise I will. , Go , go , Tubal , and meet me at our synagogue ."
Farewell .,Farewell .
Go to my brother Cassius .,Go and commend me to my brother Cassius .
since it does not deliver images to the heart,for it no form delivers to the heart
I'd rather have a handful or two of dried peas .,I had rather have a handful or two of dried peas .
I want to avoid that .,Let me shun that .
Save that kind of harsh language for your worst enemy .,Lay breath so bitter on your bitter foe .
"Hurry up , my Jewish friend .","Hie thee , gentle Jew ."
He will have only justice and his penalty .,He shall have merely justice and his bond .
But quiet .,"But , soft !"
Take my advice .,Be ruled by me .
"And if she starts to drop off , I'll rant and yell until I wake her up .","And , in conclusion , she shall watch all night , And if she chance to nod I'll rail and brawl , And with the clamor keep her still awake ."
It looks to me like it's burning in the Capulet tomb .,"As I discern , It burneth in the Capels ' monument ."
But you'd still be gorgeous even if you were as proud as the devil .,"But , if you were the devil , you are fair ."
"Even if you're not a traitor , you're going to look like one if you run away .","When our actions do not , Our fears do make us traitors ."
"No , a whole share for me .","A whole one , I ."
"The wiser the woman , the wilder .","The wiser , the waywarder ."
Is that enough of an answer ?,Is it answered ?
You've stained your virtue with your own actions .,Hero itself can blot out Hero's virtue .
"The poison is as sweet as balm , as soft as air , as gentle , Oh , Antony ! , No , I'll take you too .","As sweet as balm , as soft as air , as gentle , O Antony ! , Nay , I will take thee too ."
You brazen whore !,Impudent strumpet !
"I've seen the whole thing , and it's completely worthless , unless you think their bad acting and their misremembered lines , which they memorized so painfully , are funny .","I have heard it over , And it is nothing , nothing in the world , Unless you can find sport in their intents , Extremely stretched and conned with cru 'l pain To do you service ."
"And here's Regan , whose grotesque face betrays her twisted heart .","And here's another , whose warped looks proclaim What store her heart is made on ."
And so do I. I think we all do .,"And so in me , and so , I think , in all ."
worthy of reading survives your looking at it,worthy perusal stand against thy sight
Prepare yourselves .,Stand to 't .
"Are you begging , brother ?","A beggar , brother ?"
of my slow bearer when i travel away from you,of my dull bearer when from thee i speed
"I wish I were something better , because right now I'm a big fool .","I wish it might , for now I am your fool ."
"Here is a friar who's trembling , sighing and weeping .","Here is a friar that trembles , sighs and weeps ."
Caesar's knave will bring him a message for us .,This jack of Caesar's shall Bear us an errand to him .
"God , not our strength , be praised !","Praised be God , and not our strength , for it !"
"Let it end , or let me die so I won't have to watch any more of it .","O , preposterous And frantic outrage , end thy damned spleen , Or let me die , to look on death no more ."
He'll do whatever Hastings does .,He will do all in all as Hastings doth .
"What is she saying , my lord ?","What doth she say , my lord of Buckingham ?"
"No , Antony .","No , Antony , take the lot ."
"Hey , look over there !","Lo , now , lo !"
"You're stripped of your power and your command , and Cassio will govern Cyprus .",Your power and your command is taken off And Cassio rules in Cyprus .
"That is exactly why we wanted you here , your lordship , to avoid the public carping and complaints .",And to that end we wished your Lordship here T ' avoid the censures of the carping world .
"Then Antony offered it to him again , and he refused it again ( though , in my opinion , he was reluctant to take his hand off it ) .","Then he offered it to him again , then he put it by again , but , to my thinking , he was very loath to lay his fingers off it ."
Who's the one who's going out the door right now ?,What's he that now is going out of door ?
I never gave him reason to be jealous .,I never gave him cause .
You told me to make it well and properly and in keeping with the current style .,"You bid me make it orderly and well , According to the fashion and the time ."
Take care of the lady .,Look to the lady .
"Oh , please , Prince Dauphin !","Oh peace , Prince Dauphin !"
I'm watching the play .,I'll mark the play .
they are appropriate to your beauty and your age,thy beauty and thy years full well befits
"Hail , King of Scotland !","Hail , King of Scotland !"
Your humor is a spicy sauce .,It is a most sharp sauce .
Who put my servant in the stocks ?,Who stocked my servant ?
"Please tell me what you're thinking , even your worst suspicions .","I prithee speak to me as to thy thinkings , As thou dost ruminate , and give thy worst of thoughts The worst of words ."
But I'll linger .,But I will tarry .
"We'll do what you want us to , my lord .","We shall , my lord , Perform what you command us ."
"Yes , really .","Ay , indeed !"
"Easy , Petruchio .",I am Grumio's pledge .
You've heard a lot .,You have heard much .
They are full of pity for Caesar .,They are pitiful .
"He thinks that since his fortune is twenty times better than yours , it would be like pitting twenty men against one .","He thinks , being twenty times of better fortune , He is twenty men to one ."
"By the light of heaven , no , I would not !","No , by this heavenly light !"
I will have it all mine .,I will have it all mine .
I think it was at sea .,"At sea , I think ."
boasting of their youthful sap until they peak and then decline,vaunt in their youthful sap at height decrease
"Live , and from now on , say a madman mercifully told you to run away .","Live , and hereafter say A madman's mercy bid thee run away ."
Show .,Show .
Tell me why you did it .,Tell me why .
Now go and get me some booze .,"Come , my spade ."
Don't let them know fear .,Possess them not with fear .
"No , I'm begging you now , tell me who it is .","Nay , I prithee now , with most petitionary vehemence , tell me who it is ."
"My lord , he's afraid you mean him harm .","He fears , my lord , you mean no good to him ."
We're still waiting for one more .,Come one more .
through pity you may deserve to be pitied,thy pity may deserve to pitied be
I have no power over you .,I have no power upon you .
and life will not stay longer than your love,and life no longer than thy love will stay
"In this day and age , if a man doesn't erect his own monument before he dies , he won't be remembered past the funeral bell's ringing and his widow's crying .","If a man do not erect in this age his own tomb ere he dies , he shall live no longer in monument than the bell rings and the widow weeps ."
"Come , come .","Come , come ."
Take this .,I'll make division of my present with you .
Have her send it to me .,Let her send it .
Don't deceive me .,Do not abuse me .
Then the dovehouse shook with the earthquake .,"Shake ! "" quoth the dovehouse ."
"Please rise , Queen .","I pray you , rise ."
Here's some more news coming in .,Here is more news .
What are you doing ?,"What mean you , sir ?"
"Double , double toil and trouble , Fire burn and cauldron bubble .","Double , double toil and trouble , Fire burn and cauldron bubble ."
"Do you know the difference , my boy , between a bitter fool and a sweet one ?","Dost thou know the difference , my boy , between a bitter fool and a sweet fool ?"
"Please , hurry up .","Prithee , dispatch ."
Thirty ships .,Of thirty sail .
"But we can talk more about that tomorrow , when we'll discuss matters of state that concern us both .","But of that tomorrow , When therewithal we shall have cause of state Craving us jointly ."
"All right , then .",Let it be so .
those parts given to you by many are now yours alone,that due of many now is thine alone
"But since I've gotten myself involved this far , because I'm so stupidly honest and because I like you so much , I'll keep going .","But , sith I am entered in this cause so far , Pricked to 't by foolish honesty and love , I will go on ."
We don't know .,We do not know .
"You thought about it too long , considering what you found there .",Too long a pause for that which you find there .
"If you leave like that , you tell the world that it's not worthy of a good-bye .","If thus thou vanishest , thou tell'st the world It is not worth leave-taking ."
"Awake , my lords !","Up , my lords ."
My children would have enjoyed a better death if God had blessed you with a purer life .,My babes were destined to a fairer death If grace had blessed thee with a fairer life .
Is Antonio here ?,"What , is Antonio here ?"
"Ma'am , my master's coming .","Madam , here comes my lord ."
"Your case is most unusual , though the Venetian law can't stop you from proceeding. , Yes , so he says .","Of a strange nature is the suit you follow , Yet in such rule that the Venetian law Can not impugn you as you do proceed. , Ay , so he says ."
"Oh , well .",Tis no such matter .
That's a Cornish name .,A Cornish name .
"Well , then he must be alive .","Why then , he is alive ."
"Did you just call me ""beautiful"" ?","Call you me ""fair"" ?"
look half as good in the calm western sky,doth half that glory to the sober west
I have an adventurous fairy who'll go seek out the squirrel's secret stash and get you some fresh nuts .,I have a venturous fairy that shall seek The squirrel's hoard and fetch thee new nuts .
Too bad it's spoiling our pleasure tonight .,"Our duties , and the pledge ."
"First of all , even if all the obstacles were eliminated and my path led straight to the crown , if it were truly my birthright , I would rather hide from my greatness than hide inside the greatness of the position itself and be smothered by it .","First , if all obstacles were cut away And that my path were even to the crown As the ripe revenue and due of birth , Yet so much is my poverty of spirit , So mighty and so many my defects , That I would rather hide me from my greatness , Being a bark to brook no mighty sea , Than in my greatness covet to be hid And in the vapor of my glory smothered ."
of patience .,"In which regard ,"
"Signor Valentio and his cousin Tybalt , Lucio and the lively Helena."" That's a nice group of people .","Seigneur Valentio and his cousin Tybalt ; Lucio and the lively Helena."" A fair assembly ."
What shall I do for you ?,What shall I do ?
"No , I'll walk right next to you , side by side .","Nay , I'll go with thee , cheek by jowl ."
"I'll disguise myself as you and pour out ""my"" feelings to Hero , taking her prisoner with the force of my love story .","I will assume thy part in some disguise And tell fair Hero I am Claudio , And in her bosom I'll unclasp my heart And take her hearing prisoner with the force And strong encounter of my amorous tale ."
"But it's no treason for an Englishman to cut off a French crown , a head , I mean , and tomorrow the king himself will do some snipping .","But it is no English treason to cut French crowns , and tomorrow the king himself will be a clipper ."
"Isn't this Stephano , my drunken butler ?","Is not this Stephano , my drunken butler ?"
I'll never believe any of these old legends or fairy tales .,I never may believe These antique fables nor these fairy toys .
Hey !,"Wo , ha , ho !"
"Armed , sir .","Armed , my lord ."
He's my prisoner .,He is my prisoner .
"Sister , be happy in my unhappiness. , Sir , I will humbly obey you .","Sister , content you in my discontent. , Sir , to your pleasure humbly I subscribe ."
"Hands , speak for me !","Speak , hands , for me !"
He's trembling in his fit !,Mark how he trembles in his ecstasy .
Let Rome fall !,Sink Rome !
"Well , sir , and you , witty lady , who gave me quite a turn with your strange talk , my name is Vincentio , my hometown Pisa , and I am traveling to Padua to visit a son of mine whom I haven't seen in a long while .","Fair sir , and you , my merry mistress , That with your strange encounter much amazed me , My name is called Vincentio , my dwelling Pisa , And bound I am to Padua , there to visit A son of mine which long I have not seen ."
Don't say that .,Say not so .
and when they sleep the sight of your image,or if they sleep thy picture in my sight
Most noble Caesar !,Most noble Caesar !
"Horatio says we're imagining it , and won't let himself believe anything about this horrible thing that we've seen twice now .",Horatio says 'tis but our fantasy And will not let belief take hold of him Touching this dreaded sight twice seen of us .
"I know how they think , and I understand why they're doing this .","Tut , I am in their bosoms , and I know Wherefore they do it ."
"You annoying idiot , what Epidamnum ship is waiting for me ?","Why , thou peevish sheep , What ship of Epidamnum stays for me ?"
What foolish thief brags about his crimes ?,What simple thief brags of his own attaint ?
"Certainly , I did .","Marry , and did ."
I'll look for some way to leave his service .,I will seek Some way to leave him .
"Otherwise , I'll die a virgin , devoted to you .","If not , I'll die your maid ."
"No , not like before .","No , indeed are they not ."
Good idea .,Let's do so .
That island of England breeds very valiant creatures .,That island of England breeds very valiant creatures .
